Total,L1,BCE,Att
0.324942669792316,0.057165067386641885,0.26429607647789194,0.003481525831675064
0.2801239043474195,0.03650664224653192,0.2401358579315191,0.003481404201976532
0.2783932767863358,0.035554326732050286,0.2393576905534074,0.0034812593630100855
0.2774674482369012,0.03507185375423191,0.2389494309188106,0.0034461633384648797
0.276224736060206,0.034831410946658536,0.23874953158510984,0.002643793754117149
0.2747549075239705,0.034531222239905554,0.23850788487263314,0.0017158012649534098
0.2740992120574674,0.034243583097980715,0.23826952040634816,0.0015861082699662413
0.2735634307017782,0.033997706281758064,0.23800117297313136,0.0015645523344484645
0.2733414966878495,0.03381655544628384,0.2379706746530182,0.0015542665507909854
0.27297417775565347,0.033658794175458195,0.23776365472438601,0.0015517293695241415
0.27272761549059243,0.033496987161567494,0.23768334149289203,0.0015472868618759026
0.27240469286570657,0.033309972266087666,0.23755923100273532,0.0015354898122667859
0.27144168881145675,0.032838654610573226,0.23707362727538964,0.001529406316530335
0.2699344429835054,0.0319084222005172,0.23650251032386418,0.001523510292652966
0.2690070652991021,0.03141704178358034,0.23606897905212632,0.0015210450477600628
0.2684351603800309,0.03103185211667558,0.23588132898549785,0.0015219785593431768
0.26730808414317464,0.030438443810589768,0.23534029513524266,0.0015293458366254006
0.2654762197404882,0.02941928856093117,0.23454977707429353,0.0015071538298136802
0.26313002059734997,0.028095836053243138,0.23354983959502615,0.0014843449416439929
0.2609536766420126,0.026859632805355953,0.23262356423042913,0.0014704793101835633
0.2593676343889728,0.025805872469151937,0.23210148604847594,0.0014602774272201454
0.2573363032256063,0.024606185683783793,0.23127373851634375,0.0014563792154046488
0.255433851729447,0.023433937684287316,0.2305452849267449,0.0014546299304616355
0.25378604577419517,0.022489683707164608,0.22984213654766503,0.0014542256209070282
0.25275155920214953,0.021750955560979158,0.22954894693829225,0.0014516567045946306
0.2517522907740364,0.021131937517910395,0.2291692978626974,0.0014510557646989011
0.25098033871785425,0.020613730553290473,0.2289164270244594,0.0014501808168874567
0.2501490836647276,0.0201170287879884,0.22858206975372175,0.0014499856893623066
0.24945021023474967,0.019675959002327284,0.22832455630677348,0.0014496952397130987
0.24889522241725984,0.01929357151800644,0.22815228757020586,0.0014493630879217677
0.24839292397077317,0.018948462240269796,0.22799590537530498,0.0014485559929379634
0.24782092378678425,0.01860704044159272,0.22776514482146687,0.0014487376107081443
0.2474175344521056,0.018306543492238394,0.22766311118878085,0.0014478796877079076
0.24698262894182882,0.01802723802379001,0.2275077578696339,0.0014476335180708248
0.24650573756097266,0.017774820112662165,0.2272812836512887,0.0014496337441059356
0.24619525539201356,0.01753042790471264,0.22721677052008127,0.0014480571494224948
0.2457987451582633,0.017295782905099425,0.22705450573483027,0.0014484558847712254
0.2454957038310587,0.017086758223392,0.226960695602677,0.001448250414874561
0.2452373072248711,0.0168778293763793,0.22691183989405328,0.0014476377141709991
0.24497164130503796,0.01669767205157209,0.22682645777812477,0.001447511513955452
0.24469258627083154,0.01652063817902485,0.22672411206313364,0.001447835940574765
0.24441797079413177,0.016339076483846426,0.22663127376494288,0.0014476209649523248
0.24417641564874148,0.01618988866888041,0.22653891391484704,0.0014476131779972358
0.24392252380637056,0.016028636370851897,0.2264460388946298,0.0014478481513120827
0.24383329389575673,0.015890399563865367,0.22649619294472367,0.001446701544199679
0.24358425554830854,0.015757993126805207,0.22637894438437808,0.001447317293154063
0.24343308971174227,0.015618472499658493,0.22636821477946256,0.0014464024114548349
0.24319725935816464,0.01550120790775051,0.2262487373056223,0.0014473138647657393
0.24298587181497863,0.015369991613986748,0.22616874472368576,0.0014471360427929262
0.24276085380986523,0.015253108624066845,0.22605992747466178,0.00144781680298278
0.2426833512595597,0.015146185165724238,0.2260901041933007,0.0014470617652410768
0.24256177012252556,0.01504518210210582,0.22606987171149648,0.0014467169685147404
0.24237352353349081,0.014935662722814585,0.2259908917128893,0.0014469688010278468
0.24230117466145112,0.01483907123812513,0.22601581209268246,0.0014462912245253136
0.24208658369811817,0.014743721819681815,0.22589567739342595,0.001447184313104673
0.24191775471338184,0.014641050965564112,0.22582940054320594,0.0014473028939803135
0.2419635343756663,0.014564343581676343,0.22595345670087344,0.001445733899186556
0.2417547507280212,0.014483133573496957,0.22582499763450112,0.0014466196561749361
0.24163099515643102,0.014391388396300027,0.22579281680121172,0.0014467896889043975
0.24159327123762628,0.014322273655169866,0.22582515052700514,0.0014458473394819394
0.24156117058503232,0.014253517514419637,0.22586247994946582,0.001445173114424924
0.2412462835669224,0.014172692041780045,0.22562616847510428,0.0014474231075307833
0.24119494551522738,0.014097196109483071,0.22565094251597542,0.0014468061615294187
0.2412028367235269,0.01403900633820079,0.22571814221304812,0.001445688588455484
0.24114789372580084,0.013973405413073315,0.22572893175211806,0.0014455561174013408
0.2409393657044639,0.013900279422137313,0.2255925378723285,0.0014465486456889487
0.2409581338817423,0.01383606231878958,0.22567708197184813,0.0014449896893569284
0.24077784908930866,0.013772221854189975,0.22555959543226994,0.0014460318401760231
0.24069191680200566,0.013699458092817224,0.22554673162959415,0.0014457271531045767
0.2406959546505673,0.01365123949350026,0.22559979345640327,0.0014449214799894833
0.2404891007948273,0.01359809876055771,0.2254443783724924,0.0014466240665136256
0.24042247169873063,0.013534111657273707,0.22544184235595074,0.001446518470665911
0.24039778003528595,0.013484967144833148,0.2254667374367211,0.0014460752643782103
0.24028538599500482,0.013433594480889141,0.2254053658876724,0.0014464261959345798
0.24034345823658188,0.013392128089227748,0.22550651207749328,0.0014448186582302171
